distance_3d_Wrist_left_Wrist_right,distance_2d_Wrist_left_Wrist_right,mean_position_Elbow_left_x,mean_position_Elbow_left_y,mean_position_Elbow_left_z,mean_position_Elbow_right_x,mean_position_Elbow_right_y,mean_position_Elbow_right_z,mean_position_Wrist_left_x,mean_position_Wrist_left_y,mean_position_Wrist_left_z,mean_position_Wrist_right_x,mean_position_Wrist_right_y,mean_position_Wrist_right_z,distance_3d_Shoulder_left_Wrist_left,distance_2d_Shoulder_left_Wrist_left,distance_3d_Shoulder_right_Wrist_right,distance_2d_Shoulder_right_Wrist_right,Wrist_left_spectrum_2d,Wrist_left_spectrum_3d,Wrist_right_spectrum_2d,Wrist_right_spectrum_3d
417.4341772328111,413.06533892880293,208.36,-188.92333333333335,642.1666666666666,-79.38333333333334,-175.77666666666667,672.67,257.27666666666664,-215.88,621.98,-153.44,-175.57333333333332,679.4533333333334,142.2403843905933,140.12790058939825,153.99616784588162,150.42115571574686,13736.000000000002,1098880.0000000002,9792.0,411264.0
399.22472582586175,395.5128521537486,206.66,-170.24,643.0833333333334,-59.72333333333334,-126.31666666666666,679.4066666666666,276.7133333333333,-150.94333333333336,652.67,-111.19333333333333,-85.11666666666666,704.56,164.94150979471422,157.80716082185265,156.17010648731969,144.86141217901982,4698.000000000001,202014.00000000003,27930.0,2960580.0
365.0780401135775,352.4349140864441,189.35666666666665,-183.5,606.57,-83.19000000000001,-176.02333333333334,664.5066666666667,186.62,-222.68666666666667,586.8733333333333,-160.93333333333334,-183.10333333333332,673.96,91.9596536767211,85.74402902733718,159.92207878852565,153.29026289371816,22355.999999999993,3152195.999999999,9449.999999999995,1304099.9999999993
448.16147236304874,443.47786276682774,217.62666666666667,-178.04,642.61,-73.49333333333334,-156.3,676.7466666666667,288.8333333333333,-187.64666666666668,631.6333333333333,-152.06333333333333,-150.36333333333334,689.5033333333333,157.63462184123816,155.92664372734336,159.58650231419713,154.36063054589332,15228.999999999998,2025456.9999999998,4005.0000000000005,148185.00000000003
428.1448206684663,427.2444296165289,223.35666666666665,-203.38666666666666,634.2633333333333,-65.96333333333335,-212.96666666666667,652.7066666666667,297.0966666666667,-226.06666666666666,624.84,-127.30333333333333,-256.4,646.2433333333333,163.32378691196496,162.19827149285072,148.95493695763892,148.34743385948133,6536.0,470592.0,14286.999999999996,1171533.9999999998
438.0135578394954,436.52530152237273,224.78,-197.84666666666666,632.1466666666666,-67.23666666666668,-210.29333333333332,658.6366666666667,301.73,-217.57,627.1166666666667,-127.61333333333333,-254.13666666666666,648.3133333333334,167.07260720286834,165.7868847449132,149.55349246962916,148.1876050770952,14688.0,1454112.0,15079.999999999996,1598479.9999999995
403.77370768569,402.646479867601,231.06666666666666,-198.26,636.4266666666666,-55.45333333333335,-189.91,659.4166666666666,304.88666666666666,-217.76666666666668,627.1866666666666,-93.42666666666666,-246.01666666666668,649.3366666666667,161.6732502609217,161.19909666390623,117.70373491662947,116.81273401974468,13673.999999999998,1011875.9999999999,11513.999999999998,932633.9999999999
418.4896414411482,417.41416507161915,228.89666666666668,-202.54666666666665,635.41,-62.503333333333345,-203.47,660.24,301.24333333333334,-225.73,622.3866666666667,-111.88000000000002,-258.70666666666665,646.0366666666666,160.67096281931174,160.47669182635374,131.65518149151367,131.21335234541914,3779.999999999999,211679.99999999994,5304.000000000002,307632.0000000001
431.7348447465952,431.1622383619023,228.96,-198.63,637.1,-65.66000000000001,-214.02666666666667,658.53,302.56666666666666,-217.07333333333332,626.4233333333333,-126.20666666666669,-260.6566666666667,646.7666666666667,159.8064750265775,159.42269965678344,143.06787411910946,142.8208966392257,5813.999999999998,470933.9999999998,1920.0000000000007,80640.00000000003
434.13310628340855,433.64828206256806,222.92666666666668,-196.22666666666666,638.72,-68.4,-224.54333333333332,658.1566666666666,298.34,-210.1066666666667,627.68,-130.48666666666668,-265.92,643.78,161.75301742929577,161.4330090756257,148.03448112026317,147.9586123075436,20748.0,2469012.0,1287.0000000000005,45045.000000000015
436.73202154029144,436.3285129974696,223.89666666666668,-191.12666666666667,641.6966666666667,-74.01,-215.74,664.2266666666667,299.56,-206.0033333333334,629.38,-133.43333333333337,-259.64,647.8566666666667,159.8571655290248,159.83672886200748,147.3903847774305,147.33740864482732,204.0,2040.0,84.0,1764.0
439.82542197077237,439.5982698577258,229.51666666666668,-185.03666666666666,643.2366666666667,-66.76333333333335,-211.78666666666666,660.97,308.27,-194.1466666666667,636.0533333333333,-126.41000000000003,-259.34,647.2033333333334,162.47956571438294,162.22386745394917,146.54443917595296,146.4693056137577,775.0,25575.0,420.0000000000003,7140.000000000005
439.5873637291127,439.37835550571134,226.72,-189.36333333333334,640.2966666666666,-69.38666666666668,-219.52,662.85,305.03,-201.27666666666673,634.02,-130.01666666666668,-261.64666666666665,645.8966666666666,164.0936029595452,163.77697856091055,148.48798528991261,148.42476213823306,990.0,27720.0,360.0000000000002,7560.000000000005
438.4348803972344,438.10707356282876,228.42333333333335,-190.40333333333334,640.6633333333333,-70.42666666666668,-218.94,662.05,305.5,-205.14333333333337,629.6966666666667,-129.07000000000002,-260.43,646.4466666666667,164.00733003453996,163.9683548359842,146.88125231967103,146.82261998845564,238.0,3332.0,285.0000000000002,2280.000000000002
442.7349525516352,442.3055141252594,226.60666666666665,-190.92,640.0,-66.22666666666667,-214.85,660.5533333333333,306.76,-203.18666666666672,633.46,-132.85000000000002,-248.91333333333333,650.89,165.1085054297973,164.85559731382827,147.9663594679499,147.66911866978452,1440.0,57600.0,832.0000000000003,11648.000000000005
453.6657503317545,452.807205100634,213.78333333333333,-183.03666666666666,640.4366666666666,-85.96666666666668,-203.97333333333333,663.0933333333334,293.17,-194.11,634.4866666666667,-157.73333333333332,-231.91333333333333,659.9166666666666,164.71012675526813,164.2744165246422,153.59267164366307,152.64588869660864,7015.0,645380.0,3779.999999999999,109619.99999999997
