distance_3d_Wrist_left_Wrist_right,distance_2d_Wrist_left_Wrist_right,mean_position_Elbow_left_x,mean_position_Elbow_left_y,mean_position_Elbow_left_z,mean_position_Elbow_right_x,mean_position_Elbow_right_y,mean_position_Elbow_right_z,mean_position_Wrist_left_x,mean_position_Wrist_left_y,mean_position_Wrist_left_z,mean_position_Wrist_right_x,mean_position_Wrist_right_y,mean_position_Wrist_right_z,distance_3d_Shoulder_left_Wrist_left,distance_2d_Shoulder_left_Wrist_left,distance_3d_Shoulder_right_Wrist_right,distance_2d_Shoulder_right_Wrist_right,Wrist_left_spectrum_2d,Wrist_left_spectrum_3d,Wrist_right_spectrum_2d,Wrist_right_spectrum_3d
336.31208876538176,335.6516806586331,5.855555555555545,-81.13333333333334,720.0222222222222,-234.56666666666666,-96.73333333333332,689.1888888888889,43.87777777777777,-111.35555555555555,711.2333333333333,-291.25555555555553,-96.68888888888887,693.4,85.99921631405897,83.26377100992612,124.38277688081747,119.51439806580058,504.0,9576.0,1122.0,38148.0
333.8423109650084,331.46872374984855,9.7111111111111,-97.12222222222222,712.4111111111112,-238.46666666666667,-118.1222222222222,676.9777777777778,39.83333333333332,-127.14444444444445,702.4,-288.46666666666664,-133.29999999999998,671.5333333333333,86.51395246718283,84.71767731179179,122.16311278201306,119.38067716210101,2399.9999999999995,91199.99999999999,4773.000000000001,357975.00000000006
336.3121163501859,335.9482185808419,20.122222222222213,-104.13333333333334,712.7111111111111,-223.94444444444446,-104.81111111111109,683.7444444444444,57.533333333333324,-132.22222222222223,702.1111111111111,-275.0,-90.67777777777776,697.3888888888889,93.47605492171351,91.06039923637525,130.08727868867481,120.5352556252257,1474.9999999999995,53099.999999999985,6996.0,587664.0
340.00433865511155,339.63452122296053,19.977777777777767,-114.44444444444444,705.5555555555555,-224.0222222222222,-106.56666666666665,684.2111111111111,56.688888888888876,-149.96666666666667,693.5555555555555,-278.03333333333336,-100.49999999999999,691.5666666666667,95.83788973958728,94.44968889400016,128.05678897014724,122.31007679314872,560.0000000000002,19040.000000000007,3476.0,145992.0
325.012225797867,319.5271927319718,32.71111111111111,-102.05555555555556,709.2555555555556,-205.96666666666667,-104.88888888888887,669.0111111111111,71.46666666666667,-124.25555555555556,707.0777777777778,-238.86666666666667,-117.39999999999998,668.0444444444445,106.73782560057853,102.41419165640198,109.37839216252742,105.10732858420116,7614.000000000001,548208.0000000001,32341.999999999993,4786615.999999999
359.08745275251334,356.1558592129245,29.59999999999999,-113.67777777777778,701.7888888888889,-224.50000000000003,-130.55555555555554,669.0666666666667,72.55555555555556,-138.1,700.2555555555556,-280.3,-155.8111111111111,662.3444444444444,111.98983018593366,108.58077036659141,121.0386703181085,120.91481633526497,7748.000000000001,689572.0000000001,783.0,20358.0
362.1379717507192,357.72284208698153,8.577777777777765,-88.9,718.8222222222222,-230.85555555555558,-132.97777777777776,669.4666666666667,62.78888888888888,-105.28888888888889,721.7555555555556,-292.8333333333333,-142.21111111111108,666.3,106.47010456896376,100.56803129074707,127.04529021412907,126.26150081869156,722.0,10830.0,754.0000000000003,24882.00000000001
344.3136708802707,340.9589425698518,1.177777777777768,-77.87777777777778,716.3555555555556,-234.21111111111117,-133.59999999999997,669.1333333333333,44.322222222222216,-98.12222222222222,711.5222222222222,-291.9,-149.5333333333333,668.2555555555556,94.82938039933963,89.68430607040527,126.80067321812774,124.78156846942578,2784.000000000001,303456.0000000001,1172.9999999999993,39881.99999999998
348.3724762560426,346.3742980670793,14.244444444444435,-108.21111111111111,687.0,-234.1888888888889,-126.48888888888887,664.4333333333333,52.11111111111109,-149.9777777777778,686.4888888888889,-290.4888888888889,-147.45555555555555,663.0666666666667,107.95662804854496,103.82153674920613,124.45561709220488,122.9276057520493,10283.000000000002,1069432.0000000002,10835.999999999996,595979.9999999998
352.5266884688514,350.3787385067891,6.066666666666653,-135.56666666666666,661.7111111111111,-237.8,-104.1222222222222,683.9666666666667,44.377777777777766,-183.17777777777778,660.8555555555556,-292.65555555555557,-106.58888888888887,681.8666666666667,114.19551273190103,112.59930624884903,119.80702895742789,117.64500273847868,4758.000000000001,337818.00000000006,1960.0,80360.0
355.71829427933244,350.9824303762654,9.477777777777765,-100.5111111111111,684.5444444444445,-230.75555555555556,-113.36666666666665,674.9555555555555,51.95555555555555,-120.61111111111111,693.0888888888888,-286.25555555555553,-122.17777777777776,673.0111111111111,115.59036944665715,110.61601611062939,117.91508988969959,115.78792908455952,10671.999999999998,1163247.9999999998,2225.0000000000005,117925.00000000003
341.5947471554257,339.38313450963665,0.8888888888888783,-85.5,705.7222222222222,-237.74444444444444,-120.31111111111109,672.3,43.64444444444443,-98.95555555555555,697.8166666666667,-291.68888888888887,-141.06666666666663,667.0444444444445,99.26672149238851,95.82817390395972,113.96187914406548,113.07572097325796,15047.999999999998,2031479.9999999998,1764.0,72324.0
335.35297547016637,328.55794414139984,10.211111111111101,-77.87777777777778,713.3,-225.8111111111111,-122.87777777777775,669.5777777777778,55.777777777777764,-82.47777777777777,706.0111111111111,-261.2,-152.9111111111111,650.9444444444445,106.62421659272738,100.86271569601443,103.54371537779609,102.62849572758898,5418.0,688086.0,5949.999999999996,374849.99999999977
330.1546878849939,325.2005265112053,-4.255555555555569,-111.12222222222222,649.1444444444444,-243.94444444444446,-119.61111111111109,674.1222222222223,15.577777777777754,-161.3111111111111,665.9555555555555,-299.05555555555554,-129.3222222222222,674.2222222222222,93.70633859312909,90.90461113106475,125.25769223168916,122.29932528217546,20680.0,2709080.0,9638.999999999998,694007.9999999999
330.533815293658,323.8938460051707,11.52222222222221,-108.5111111111111,694.5,-227.91111111111115,-155.7,651.1888888888889,51.82222222222221,-137.22222222222223,687.3777777777777,-264.7111111111111,-198.8333333333333,635.0888888888888,98.72519441301219,92.51342703341717,111.57945512480066,110.89770397274181,3685.0,456940.0,2111.9999999999986,103487.99999999993
342.96422125940364,341.84810433050234,12.244444444444431,-109.36666666666666,706.9666666666667,-232.40000000000003,-134.7,668.6,49.077777777777754,-141.11111111111111,698.6888888888889,-292.26666666666665,-143.96666666666664,673.1777777777778,92.48419973635646,89.59807851899774,128.66835425865543,124.44077689798613,2574.0,110682.0,3304.0,185024.0
329.27578052330676,322.6507248490637,6.966666666666656,-79.33333333333333,721.3222222222222,-215.67777777777778,-122.76666666666665,674.8,50.74444444444443,-64.26666666666667,736.2666666666667,-264.74444444444447,-117.65555555555554,677.6,117.39628866905413,98.9417475326774,121.6317556179524,115.51440450510813,4859.999999999999,578339.9999999999,5850.0,333450.0
336.92739168556403,332.9249576117145,15.9111111111111,-90.18888888888888,710.3666666666667,-224.7444444444445,-140.76666666666665,669.0888888888888,51.32222222222221,-121.2,709.4777777777778,-278.5777777777778,-157.77777777777777,663.1555555555556,93.54997490017277,87.62023197460795,118.18541812508656,117.02021733945102,2029.9999999999995,99469.99999999997,364.0,8372.0
334.5255531882685,332.33243642878557,10.12222222222221,-98.74444444444444,708.0888888888888,-233.40000000000003,-143.87777777777777,664.0444444444445,41.08888888888888,-135.2888888888889,698.1,-290.31111111111113,-158.04444444444442,661.2666666666667,85.30635339587995,83.39563257547292,123.84254707735953,122.99319570186378,624.0000000000001,31200.000000000007,260.0,9100.0
329.29063290679784,324.87983177614814,-8.005555555555569,-76.4888888888889,704.4222222222222,-231.10000000000005,-132.35555555555553,663.0666666666667,28.52222222222222,-82.7,702.0333333333333,-286.72222222222223,-133.28888888888886,665.0111111111111,95.07542981345155,88.66807878790736,126.14503539705359,122.39023214135767,15839.999999999996,2502719.9999999995,5670.0,629370.0
324.8964746812538,315.0287899519416,2.455555555555545,-94.71111111111111,715.1777777777778,-226.7666666666667,-144.1111111111111,657.9,47.49999999999999,-111.63333333333334,720.8111111111111,-258.46666666666664,-179.97777777777776,644.5,106.80606955485972,94.87926136011323,102.73823020025927,100.47516918993536,5123.0,302257.0,11440.0,1258400.0
